"mktrf","smb","hml"
-0.0112,0.0302,-0.0046
0.0059,-0.0297,0.0186
0.0136,0.0087,-0.0137
-0.0153,0.0283,-0.0079
0.0154,-0.0414,-0.0412
-0.0604,0.0048,0.0268
-0.0308,-0.0264,0.0052
0.0775,-0.0197,-8e-04
0.0056,0.0364,-0.0052
-0.0217,-0.0282,-0.0258
-0.0577,-0.0339,0.021
-7e-04,0.0078,-0.0048
0.0696,0.0088,0.0112
0.0092,0.0068,0.0326
0.0178,-0.0026,-0.0181
-5e-04,0.0065,-0.0149
0.0395,0.0265,-0.0113
0.005,0.0115,0.0331
0.0025,0.0202,-0.0148
-0.0202,-0.0437,0.0418
0.0486,0.0549,0.0827
0.0182,7e-04,0.036
0.0194,-0.0102,-0.0278
0.0357,-0.02,-0.018
